,ML_method,Training_set,N_Retrains,Queries_to_Oracle,F1,Normal_traffic_label_err_rate_FPR,Botnet_label_err_rate_FNR,Number_of_Samples_trained,Precision,Recall,Training_Time,Testing_Time,Tuning_Time,Number_of_Clusters,Cluster Noises,Prob_1s,init_train_sample_sz,init_batch_sz
0,CNN_EnS_avg_th_50,train_1,1,0,0.0641076115485564,1.0,1.0,500.0,0.7307404637247569,0.0335243454688947,1.3284873962402344,0.3466906547546386,51.25172114372253,0,0,0.0,0,500
1,RF_EnS_avg_th_50,train_1,1,0,0.9002793296089385,1.0,1.0,500.0,0.916373458435512,0.8847407610747006,0.1330366134643554,0.0443363189697265,15.000376224517822,0,0,0.0,0,500
2,KNN_EnS_avg_th_50,train_1,1,0,0.7380196281816007,1.0,1.0,500.0,0.6898156434580276,0.7934666986926535,0.0017228126525878,1.0940766334533691,12.909098863601685,0,0,0.0,0,500
3,EnS_avg_th_50,train_1,1,0,0.8141223395967716,1.0,1.0,500.0,0.7456263021204943,0.8964759976666781,1.4632468223571775,9.838696479797363,12.909098863601685,0,0,0.0,0,500
4,CNN_EnS_avg_th_50,train_1,2,745,0.7066870406752528,0.0248041775456918,0.0381593714927048,3500.0,0.546487855200225,0.9997598050989946,3.138709783554077,0.2968091964721679,53.67429947853088,5,0,0.0,0,500
5,RF_EnS_avg_th_50,train_1,2,745,0.7989078443877552,0.0248041775456918,0.0381593714927048,3500.0,0.952931108258451,0.6877466286929966,0.1509032249450683,0.0649693012237548,21.286170482635494,5,0,0.0,0,500
6,KNN_EnS_avg_th_50,train_1,2,745,0.6999888843602949,0.0248041775456918,0.0381593714927048,3500.0,0.7607006241191866,0.6482517242562537,0.0047979354858398,2.260662078857422,14.198436737060549,5,0,0.0,0,500
7,EnS_avg_th_50,train_1,2,745,0.7832936863861483,0.0248041775456918,0.0381593714927048,3500.0,0.907103825136612,0.6892221116563154,3.2944109439849854,11.048606157302856,14.198436737060549,5,0,0.0,0,500
8,CNN_EnS_avg_th_50,train_1,3,1168,0.0650034787794453,0.0244541484716157,0.2450592885375494,6500.0,0.9432692307692307,0.0336615996980406,4.504838228225708,0.2831504344940185,57.998706102371216,20,0,0.0,0,500
9,RF_EnS_avg_th_50,train_1,3,1168,0.8150424807172781,0.0244541484716157,0.2450592885375494,6500.0,0.9488581977300696,0.7143053220327351,0.1800637245178222,0.0627496242523193,19.171664476394653,20,0,0.0,0,500
10,KNN_EnS_avg_th_50,train_1,3,1168,0.8038650237818808,0.0244541484716157,0.2450592885375494,6500.0,0.8847850282369429,0.7365061935970902,0.0166361331939697,1.731830358505249,13.882787466049194,20,0,0.0,0,500
11,EnS_avg_th_50,train_1,3,1168,0.7873912785053394,0.0244541484716157,0.2450592885375494,6500.0,0.9315986872948898,0.6818446968397214,4.7015380859375,11.175222635269163,13.882787466049194,20,0,0.0,0,500
12,CNN_EnS_avg_th_50,train_1,4,1502,0.3031842720632813,0.0227642276422763,0.2913077525450274,9500.0,0.9554221251819504,0.1801804893113269,5.436624050140381,0.2806529998779297,58.33215951919556,12,0,0.0,0,500
13,RF_EnS_avg_th_50,train_1,4,1502,0.8318705902598521,0.0227642276422763,0.2913077525450274,9500.0,0.9394109518051476,0.746422811652884,1.209303855895996,0.3380327224731445,20.878410816192627,12,0,0.0,0,500
14,KNN_EnS_avg_th_50,train_1,4,1502,0.7773801509407221,0.0227642276422763,0.2913077525450274,9500.0,0.803574698751053,0.7528394468654566,0.0144929885864257,2.752197265625,17.323890447616577,12,0,0.0,0,500
15,EnS_avg_th_50,train_1,4,1502,0.7959203648963452,0.0227642276422763,0.2913077525450274,9500.0,0.9265724703737466,0.697560306076931,6.660420894622803,12.330270290374756,17.323890447616577,12,0,0.0,0,500
16,CNN_EnS_avg_th_50,train_1,5,1563,0.6889344704739286,0.0209003215434083,0.286697247706422,12500.0,0.9290705800139762,0.547438492948564,7.292819499969482,0.2820427417755127,61.46835398674011,2,0,0.0,0,500
17,RF_EnS_avg_th_50,train_1,5,1563,0.8314096499526964,0.0209003215434083,0.286697247706422,12500.0,0.9267305015396295,0.7538688535840511,0.8953754901885986,0.2294178009033203,17.82873797416687,2,0,0.0,0,500
18,KNN_EnS_avg_th_50,train_1,5,1563,0.8193690388848129,0.0209003215434083,0.286697247706422,12500.0,0.8801670804271584,0.7664276155509042,0.0205109119415283,2.9497320652008057,18.185980081558228,2,0,0.0,0,500
19,EnS_avg_th_50,train_1,5,1563,0.8116785544460295,0.0209003215434083,0.286697247706422,12500.0,0.9105923523386822,0.7321483718217068,8.20870590209961,12.363619089126589,18.185980081558228,2,0,0.0,0,500
20,CNN_EnS_avg_th_50,train_1,6,1629,0.7404469797608814,0.0464037122969838,0.2670007158196135,15500.0,0.8596507144477206,0.6502762241361562,9.379819631576538,0.3205592632293701,66.0519073009491,2,0,0.0,0,500
21,RF_EnS_avg_th_50,train_1,6,1629,0.8303135756704618,0.0464037122969838,0.2670007158196135,15500.0,0.9249926256794908,0.7532168959956078,0.2637946605682373,0.0706703662872314,18.59837245941162,2,0,0.0,0,500
22,KNN_EnS_avg_th_50,train_1,6,1629,0.8208166709469127,0.0464037122969838,0.2670007158196135,15500.0,0.8818335895313547,0.7676972171705041,0.0229182243347167,4.592032432556152,23.125725269317627,2,0,0.0,0,500
23,EnS_avg_th_50,train_1,6,1629,0.816065911431514,0.0464037122969838,0.2670007158196135,15500.0,0.8981534910559723,0.7477267268297705,9.666532516479492,14.639070987701416,23.125725269317627,2,0,0.0,0,500
24,CNN_EnS_avg_th_50,train_1,7,1796,0.7724751120905844,0.05648369132856,0.2193333333333333,18500.0,0.8653641510237092,0.6975946196342174,9.072665929794312,0.2603154182434082,65.21107864379883,8,0,0.0,0,500
25,RF_EnS_avg_th_50,train_1,7,1796,0.8365900311292803,0.05648369132856,0.2193333333333333,18500.0,0.9223834925360792,0.7653982088323097,0.5738730430603027,0.1187622547149658,19.734623670578003,8,0,0.0,0,500
26,KNN_EnS_avg_th_50,train_1,7,1796,0.7632951348383998,0.05648369132856,0.2193333333333333,18500.0,0.7632165768980068,0.7633737089524071,0.0627846717834472,2.57572865486145,24.85211205482483,8,0,0.0,0,500
27,EnS_avg_th_50,train_1,7,1796,0.8119282098481363,0.05648369132856,0.2193333333333333,18500.0,0.8757842903661346,0.7567511923961157,9.709323644638062,12.010749101638794,24.85211205482483,8,0,0.0,0,500
28,CNN_EnS_avg_th_50,train_1,8,1959,0.7919380559878572,0.061128526645768,0.2377158034528552,21500.0,0.8997991617184771,0.7071681021171465,10.654457330703735,0.266204833984375,69.32009792327881,2,0,0.0,0,500
29,RF_EnS_avg_th_50,train_1,8,1959,0.8394821885565912,0.061128526645768,0.2377158034528552,21500.0,0.921279212792128,0.771025632227293,0.6215322017669678,0.1324670314788818,12.917126417160034,2,0,0.0,0,500
30,KNN_EnS_avg_th_50,train_1,8,1959,0.8302348962617677,0.061128526645768,0.2377158034528552,21500.0,0.8883890149440575,0.7792265724187627,0.0700490474700927,3.359382152557373,23.70434665679932,2,0,0.0,0,500
31,EnS_avg_th_50,train_1,8,1959,0.8276903009410231,0.061128526645768,0.2377158034528552,21500.0,0.9056765353560068,0.7620697937755208,11.346038579940796,12.840298414230348,23.70434665679932,2,0,0.0,0,500
32,CNN_EnS_avg_th_50,train_1,9,2085,0.7785746042178107,0.0566929133858268,0.2466755319148936,24500.0,0.8915006640106242,0.691040730192499,11.752753973007202,0.2673413753509521,72.25318360328674,2,0,0.0,0,500
33,RF_EnS_avg_th_50,train_1,9,2085,0.8396505801933357,0.0566929133858268,0.2466755319148936,24500.0,0.9182758901654038,0.7734275812373469,0.7027668952941895,0.1334681510925293,18.70067667961121,2,0,0.0,0,500
34,KNN_EnS_avg_th_50,train_1,9,2085,0.8313967275314205,0.0566929133858268,0.2466755319148936,24500.0,0.8874912376353299,0.7819716570016814,0.0416476726531982,5.984676361083984,30.65981149673462,2,0,0.0,0,500
35,EnS_avg_th_50,train_1,9,2085,0.8270617981705958,0.0566929133858268,0.2466755319148936,24500.0,0.9025360113613308,0.7632364547232612,12.49716854095459,15.42809009552002,30.65981149673462,2,0,0.0,0,500
36,CNN_EnS_avg_th_50,train_1,10,2216,0.7925852844078473,0.0683039140445126,0.2425876010781671,27500.0,0.8864321181513389,0.716707271042789,15.56212568283081,0.2986540794372558,77.28422021865845,6,0,0.0,0,500
